script,oracle_result,sley_result,oracle_cells,sley_cells,cell_vector,correctness,unexpected_sley_skips,missing_sley_cells,extra_sley_cells,performance_eligible,performance_comparison
t7064-wtstatus-pv2.sh,PASS,PASS,28,28,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7101-reset-empty-subdirs.sh,PASS,PASS,10,10,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7102-reset.sh,PASS,PASS,38,38,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7103-reset-bare.sh,PASS,PASS,13,13,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7104-reset-hard.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7105-reset-patch.sh,PASS,FAIL,13,13,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7106-reset-unborn-branch.sh,PASS,FAIL,7,7,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7107-reset-pathspec-file.sh,PASS,FAIL,11,11,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7110-reset-merge.sh,PASS,PASS,21,21,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7111-reset-table.sh,PASS,PASS,42,42,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7112-reset-submodule.sh,PASS,PASS,82,82,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7113-post-index-change-hook.sh,PASS,PASS,4,4,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7201-co.sh,PASS,FAIL,49,49,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7300-clean.sh,PASS,PASS,55,55,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7301-clean-interactive.sh,PASS,PASS,23,23,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7400-submodule-basic.sh,PASS,FAIL,124,124,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7401-submodule-summary.sh,PASS,PASS,25,25,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7402-submodule-rebase.sh,PASS,PASS,6,6,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7403-submodule-sync.sh,PASS,PASS,18,18,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7406-submodule-update.sh,PASS,FAIL,71,71,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7407-submodule-foreach.sh,PASS,FAIL,23,23,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7408-submodule-reference.sh,PASS,PASS,16,16,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7409-submodule-detached-work-tree.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7411-submodule-config.sh,PASS,PASS,20,20,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7412-submodule-absorbgitdirs.sh,PASS,PASS,12,12,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7413-submodule-is-active.sh,PASS,PASS,10,10,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7414-submodule-mistakes.sh,PASS,PASS,5,5,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7416-submodule-dash-url.sh,PASS,PASS,18,18,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7417-submodule-path-url.sh,PASS,PASS,5,5,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7418-submodule-sparse-gitmodules.sh,PASS,PASS,9,9,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7419-submodule-set-branch.sh,PASS,PASS,9,9,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7420-submodule-set-url.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7421-submodule-summary-add.sh,PASS,PASS,5,5,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7422-submodule-output.sh,PASS,PASS,18,18,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7423-submodule-symlinks.sh,PASS,PASS,6,6,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7424-submodule-mixed-ref-formats.sh,PASS,FAIL,7,7,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7425-submodule-gitdir-path-extension.sh,PASS,FAIL,23,23,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7426-submodule-get-default-remote.sh,PASS,FAIL,15,15,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7450-bad-git-dotfiles.sh,PASS,FAIL,50,50,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7500-commit-template-squash-signoff.sh,PASS,PASS,57,57,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7501-commit-basic-functionality.sh,PASS,PASS,77,77,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7502-commit-porcelain.sh,PASS,PASS,82,82,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7503-pre-commit-and-pre-merge-commit-hooks.sh,PASS,PASS,22,22,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7504-commit-msg-hook.sh,PASS,PASS,30,30,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7505-prepare-commit-msg-hook.sh,PASS,PASS,23,23,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7506-status-submodule.sh,PASS,FAIL,40,40,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7507-commit-verbose.sh,PASS,PASS,45,45,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7508-status.sh,PASS,FAIL,126,126,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7509-commit-authorship.sh,PASS,PASS,12,12,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7510-signed-commit.sh,PASS,PASS,29,29,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7511-status-index.sh,PASS,PASS,24,24,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7512-status-help.sh,PASS,FAIL,47,47,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7513-interpret-trailers.sh,PASS,PASS,99,99,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7514-commit-patch.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7515-status-symlinks.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
